date,consumption_mwh_day,temp_mean_c,is_holiday
2000-12-06,332.04350000004,20.5,0
2000-12-07,331.95489999996005,21.1,0
2000-12-08,330.60275000004003,23.4,0
2000-12-09,309.71165000004004,25.6,0
2000-12-10,280.51554999996,24.2,0
2000-12-11,332.15349999996,22.7,0
2000-12-12,344.74287500004,24.3,0
2000-12-13,348.67010000004,24.0,0
2000-12-14,347.43834999996,24.4,0
2000-12-15,345.13125,25.2,0
2000-12-16,315.36654999996006,23.7,0
2000-12-17,272.44449999996,18.6,0
2000-12-18,307.00698500004,16.7,0
2000-12-19,319.22490000000005,20.0,0
2000-12-20,322.83575000004,22.7,0
2000-12-21,323.90019999995997,24.8,0
2000-12-22,324.67775000004,26.3,0
2000-12-23,297.63414999996,25.5,0
2000-12-24,273.53375000004,24.8,0
2000-12-25,246.29015000004003,24.3,1
2000-12-26,306.82809999996,24.3,0
2000-12-27,319.14345,25.5,0
2000-12-28,321.73865000004,24.4,0
2000-12-29,314.34905000004005,25.4,0
2000-12-30,290.40020000004,24.2,0
2000-12-31,264.085875,20.9,0
2001-01-01,236.75079999996,20.6,1
2001-01-02,295.15434500004005,21.6,0
2001-01-03,312.75866000004,21.4,0
2001-01-04,315.84146000004,23.6,0
2001-01-05,322.33094499996,25.3,0
2001-01-06,300.57156500004,26.1,0
2001-01-07,275.32190000004005,26.6,0
2001-01-08,329.47953500004,27.0,0
2001-01-09,334.83306999996,25.4,0
2001-01-10,335.28015500004,24.8,0
2001-01-11,338.03580500004,25.9,0
2001-01-12,340.00827,23.9,0
2001-01-13,305.08596500004,23.1,0
2001-01-14,270.63437000004,23.2,0
2001-01-15,327.10308500004,23.5,0
2001-01-16,337.64429499996,25.1,0
2001-01-17,341.23188999996,25.0,0
2001-01-18,344.93184,25.6,0
2001-01-19,344.61723500003995,26.6,0
2001-01-20,310.335555,24.6,0
2001-01-21,277.29620499996,23.4,0
2001-01-22,329.95778000004,23.9,0
2001-01-23,339.31018500000005,23.8,0
2001-01-24,340.24942500000003,23.3,0
2001-01-25,331.68567999996003,23.7,1
2001-01-26,337.60176,25.1,0
2001-01-27,313.861905,25.9,0
2001-01-28,281.85294,26.6,0
2001-01-29,337.9914,25.8,0
2001-01-30,349.39409499996,25.4,0
2001-01-31,347.71101,24.3,0
2001-02-01,343.65653499996,24.7,0
2001-02-02,346.009905,26.8,0
2001-02-03,316.194525,26.7,0
2001-02-04,282.59076000000005,25.3,0
2001-02-05,342.72175500000003,24.5,0
2001-02-06,346.843035,23.9,0
2001-02-07,346.455495,23.8,0
2001-02-08,347.91914000004,25.2,0
2001-02-09,348.76791500004,23.8,0
2001-02-10,315.02624499996006,23.5,0
2001-02-11,281.63453499996,25.1,0
2001-02-12,345.06933000000004,25.8,0
2001-02-13,350.62767999996,23.4,0
2001-02-14,349.97681000004,24.0,0
2001-02-15,351.0444,24.7,0
2001-02-16,354.26499,24.4,0
2001-02-17,320.13426999996,23.9,0
2001-02-18,285.83649999996,25.2,0
2001-02-19,346.25843499996,26.2,0
2001-02-20,355.598145,24.7,0
2001-02-21,354.436215,24.4,0
2001-02-22,355.26648500004,25.4,0
2001-02-23,353.32233999996004,25.2,0
2001-02-24,316.09310000004,24.7,0
2001-02-25,281.21175500004,25.2,0
2001-02-26,298.77431000004003,25.4,0
2001-02-27,293.82629000004,24.1,1
2001-02-28,323.65326500004005,23.4,0
2001-03-01,341.38127499996,23.6,0
2001-03-02,341.99136999996,22.9,0
2001-03-03,312.850275,23.5,0
2001-03-04,279.20556,24.3,0
2001-03-05,338.41128,24.4,0
2001-03-06,342.26155500000004,,0
2001-03-07,350.6271,26.1,0
2001-03-08,352.25049500004,22.7,0
2001-03-09,344.97857499996,23.3,0
2001-03-10,312.33894999995994,23.9,0
